product_id,hs4,atlas_color,,
1,101,"(255, 226, 175)",,
2,102,"(255, 226, 175)",,
3,103,"(255, 226, 175)",,
4,104,"(255, 226, 175)",,
5,105,"(255, 226, 175)",,
6,106,"(255, 226, 175)",,
7,201,"(255, 226, 175)",,
8,202,"(255, 226, 175)",,
9,203,"(255, 226, 175)",,
10,204,"(255, 226, 175)",,
11,205,"(255, 226, 175)",,
12,206,"(255, 226, 175)",,
13,207,"(255, 226, 175)",,
14,208,"(255, 226, 175)",,
15,209,"(255, 226, 175)",,
16,210,"(255, 226, 175)",,
17,301,"(255, 226, 175)",,
18,302,"(255, 226, 175)",,
19,303,"(255, 226, 175)",,
20,304,"(255, 226, 175)",,
21,305,"(255, 226, 175)",,
22,306,"(255, 226, 175)",,
23,307,"(255, 226, 175)",,
24,401,"(255, 226, 175)",,
25,402,"(255, 226, 175)",,
26,403,"(255, 226, 175)",,
27,404,"(255, 226, 175)",,
28,405,"(255, 226, 175)",,
29,406,"(255, 226, 175)",,
30,407,"(255, 226, 175)",,
31,408,"(255, 226, 175)",,
32,409,"(255, 226, 175)",,
33,410,"(255, 226, 175)",,
34,501,"(255, 226, 175)",,
35,502,"(255, 226, 175)",,
36,503,"(255, 226, 175)",,
37,504,"(255, 226, 175)",,
38,505,"(255, 226, 175)",,
39,506,"(255, 226, 175)",,
40,507,"(255, 226, 175)",,
41,508,"(255, 226, 175)",,
42,509,"(255, 226, 175)",,
43,510,"(255, 226, 175)",,
44,511,"(255, 226, 175)",,
45,601,"(255, 214, 41)",,
46,602,"(255, 214, 41)",,
47,603,"(255, 214, 41)",,
48,604,"(255, 214, 41)",,
49,701,"(255, 214, 41)",,
50,702,"(255, 214, 41)",,
51,703,"(255, 214, 41)",,
52,704,"(255, 214, 41)",,
53,705,"(255, 214, 41)",,
54,706,"(255, 214, 41)",,
55,707,"(255, 214, 41)",,
56,708,"(255, 214, 41)",,
57,709,"(255, 214, 41)",,
58,710,"(255, 214, 41)",,
59,711,"(255, 214, 41)",,
60,712,"(255, 214, 41)",,
61,713,"(255, 214, 41)",,
62,714,"(255, 214, 41)",,
63,801,"(255, 214, 41)",,
64,802,"(255, 214, 41)",,
65,803,"(255, 214, 41)",,
66,804,"(255, 214, 41)",,
67,805,"(255, 214, 41)",,
68,806,"(255, 214, 41)",,
69,807,"(255, 214, 41)",,
70,808,"(255, 214, 41)",,
71,809,"(255, 214, 41)",,
72,810,"(255, 214, 41)",,
73,811,"(255, 214, 41)",,
74,812,"(255, 214, 41)",,
75,813,"(255, 214, 41)",,
76,814,"(255, 214, 41)",,
77,901,"(255, 214, 41)",,
78,902,"(255, 214, 41)",,
79,903,"(255, 214, 41)",,
80,904,"(255, 214, 41)",,
81,905,"(255, 214, 41)",,
82,906,"(255, 214, 41)",,
83,907,"(255, 214, 41)",,
84,908,"(255, 214, 41)",,
85,909,"(255, 214, 41)",,
86,910,"(255, 214, 41)",,
87,1001,"(255, 214, 41)",,
88,1002,"(255, 214, 41)",,
89,1003,"(255, 214, 41)",,
90,1004,"(255, 214, 41)",,
91,1005,"(255, 214, 41)",,
92,1006,"(255, 214, 41)",,
93,1007,"(255, 214, 41)",,
94,1008,"(255, 214, 41)",,
95,1101,"(255, 214, 41)",,
96,1102,"(255, 214, 41)",,
97,1103,"(255, 214, 41)",,
98,1104,"(255, 214, 41)",,
99,1105,"(255, 214, 41)",,
100,1106,"(255, 214, 41)",,
101,1107,"(255, 214, 41)",,
102,1108,"(255, 214, 41)",,
103,1109,"(255, 214, 41)",,
104,1201,"(255, 214, 41)",,
105,1202,"(255, 214, 41)",,
106,1203,"(255, 214, 41)",,
107,1204,"(255, 214, 41)",,
108,1205,"(255, 214, 41)",,
109,1206,"(255, 214, 41)",,
110,1207,"(255, 214, 41)",,
111,1208,"(255, 214, 41)",,
112,1209,"(255, 214, 41)",,
113,1210,"(255, 214, 41)",,
114,1211,"(255, 214, 41)",,
115,1212,"(255, 214, 41)",,
116,1213,"(255, 214, 41)",,
117,1214,"(255, 214, 41)",,
118,1301,"(255, 214, 41)",,
119,1302,"(255, 214, 41)",,
120,1401,"(255, 214, 41)",,
121,1402,"(255, 214, 41)",,
122,1403,"(255, 214, 41)",,
123,1404,"(255, 214, 41)",,
124,1501,"(255, 226, 175)",,
125,1502,"(255, 226, 175)",,
126,1503,"(255, 226, 175)",,
127,1504,"(255, 226, 175)",,
128,1505,"(255, 226, 175)",,
129,1506,"(255, 226, 175)",,
130,1507,"(255, 226, 175)",,
131,1508,"(255, 226, 175)",,
132,1509,"(255, 226, 175)",,
133,1510,"(255, 226, 175)",,
134,1511,"(255, 226, 175)",,
135,1512,"(255, 226, 175)",,
136,1513,"(255, 226, 175)",,
137,1514,"(255, 226, 175)",,
138,1515,"(255, 226, 175)",,
139,1516,"(255, 226, 175)",,
140,1517,"(255, 226, 175)",,
141,1518,"(255, 226, 175)",,
142,1519,"(255, 226, 175)",,
143,1520,"(255, 226, 175)",,
144,1521,"(255, 226, 175)",,
145,1522,"(255, 226, 175)",,
146,1601,"(204, 255, 51)",,
147,1602,"(204, 255, 51)",,
148,1603,"(204, 255, 51)",,
149,1604,"(204, 255, 51)",,
150,1605,"(204, 255, 51)",,
151,1701,"(204, 255, 51)",,
152,1702,"(204, 255, 51)",,
153,1703,"(204, 255, 51)",,
154,1704,"(204, 255, 51)",,
155,1801,"(204, 255, 51)",,
156,1802,"(204, 255, 51)",,
157,1803,"(204, 255, 51)",,
158,1804,"(204, 255, 51)",,
159,1805,"(204, 255, 51)",,
160,1806,"(204, 255, 51)",,
161,1901,"(204, 255, 51)",,
162,1902,"(204, 255, 51)",,
163,1903,"(204, 255, 51)",,
164,1904,"(204, 255, 51)",,
165,1905,"(204, 255, 51)",,
166,2001,"(204, 255, 51)",,
167,2002,"(204, 255, 51)",,
168,2003,"(204, 255, 51)",,
169,2004,"(204, 255, 51)",,
170,2005,"(204, 255, 51)",,
171,2006,"(204, 255, 51)",,
172,2007,"(204, 255, 51)",,
173,2008,"(204, 255, 51)",,
174,2009,"(204, 255, 51)",,
175,2101,"(204, 255, 51)",,
176,2102,"(204, 255, 51)",,
177,2103,"(204, 255, 51)",,
178,2104,"(204, 255, 51)",,
179,2105,"(204, 255, 51)",,
180,2106,"(204, 255, 51)",,
181,2201,"(204, 255, 51)",,
182,2202,"(204, 255, 51)",,
183,2203,"(204, 255, 51)",,
184,2204,"(204, 255, 51)",,
185,2205,"(204, 255, 51)",,
186,2206,"(204, 255, 51)",,
187,2207,"(204, 255, 51)",,
188,2208,"(204, 255, 51)",,
189,2209,"(204, 255, 51)",,
190,2301,"(204, 255, 51)",,
191,2302,"(204, 255, 51)",,
192,2303,"(204, 255, 51)",,
193,2304,"(204, 255, 51)",,
194,2305,"(204, 255, 51)",,
195,2306,"(204, 255, 51)",,
196,2307,"(204, 255, 51)",,
197,2308,"(204, 255, 51)",,
198,2309,"(204, 255, 51)",,
199,2401,"(204, 255, 51)",,
200,2402,"(204, 255, 51)",,
201,2403,"(204, 255, 51)",,
202,2501,"(54, 0, 27)",,
203,2502,"(54, 0, 27)",,
204,2503,"(54, 0, 27)",,
205,2504,"(54, 0, 27)",,
206,2505,"(54, 0, 27)",,
207,2506,"(54, 0, 27)",,
208,2507,"(54, 0, 27)",,
209,2508,"(54, 0, 27)",,
210,2509,"(54, 0, 27)",,
211,2510,"(54, 0, 27)",,
212,2511,"(54, 0, 27)",,
213,2512,"(54, 0, 27)",,
214,2513,"(54, 0, 27)",,
215,2514,"(54, 0, 27)",,
216,2515,"(54, 0, 27)",,
217,2516,"(54, 0, 27)",,
218,2517,"(54, 0, 27)",,
219,2518,"(54, 0, 27)",,
220,2519,"(54, 0, 27)",,
221,2520,"(54, 0, 27)",,
222,2521,"(54, 0, 27)",,
223,2522,"(54, 0, 27)",,
224,2523,"(54, 0, 27)",,
225,2524,"(54, 0, 27)",,
226,2525,"(54, 0, 27)",,
227,2526,"(54, 0, 27)",,
228,2528,"(54, 0, 27)",,
229,2529,"(54, 0, 27)",,
230,2530,"(54, 0, 27)",,
231,2601,"(54, 0, 27)",,
232,2602,"(54, 0, 27)",,
233,2603,"(54, 0, 27)",,
234,2604,"(54, 0, 27)",,
235,2605,"(54, 0, 27)",,
236,2606,"(54, 0, 27)",,
237,2607,"(54, 0, 27)",,
238,2608,"(54, 0, 27)",,
239,2609,"(54, 0, 27)",,
240,2610,"(54, 0, 27)",,
241,2611,"(54, 0, 27)",,
242,2612,"(54, 0, 27)",,
243,2613,"(54, 0, 27)",,
244,2614,"(54, 0, 27)",,
245,2615,"(54, 0, 27)",,
246,2616,"(54, 0, 27)",,
247,2617,"(54, 0, 27)",,
248,2618,"(54, 0, 27)",,
249,2619,"(54, 0, 27)",,
250,2620,"(54, 0, 27)",,
251,2621,"(54, 0, 27)",,
252,2701,"(54, 0, 27)",,
253,2702,"(54, 0, 27)",,
254,2703,"(54, 0, 27)",,
255,2704,"(54, 0, 27)",,
256,2705,"(54, 0, 27)",,
257,2706,"(54, 0, 27)",,
258,2707,"(54, 0, 27)",,
259,2708,"(54, 0, 27)",,
260,2709,"(54, 0, 27)",,
261,2710,"(54, 0, 27)",,
262,2711,"(54, 0, 27)",,
263,2712,"(54, 0, 27)",,
264,2713,"(54, 0, 27)",,
265,2714,"(54, 0, 27)",,
266,2715,"(54, 0, 27)",,
267,2716,"(54, 0, 27)",,
268,2801,"(233, 138, 255)",,
269,2802,"(233, 138, 255)",,
270,2803,"(233, 138, 255)",,
271,2804,"(233, 138, 255)",,
272,2805,"(233, 138, 255)",,
273,2806,"(233, 138, 255)",,
274,2807,"(233, 138, 255)",,
275,2808,"(233, 138, 255)",,
276,2809,"(233, 138, 255)",,
277,2810,"(233, 138, 255)",,
278,2811,"(233, 138, 255)",,
279,2812,"(233, 138, 255)",,
280,2813,"(233, 138, 255)",,
281,2814,"(233, 138, 255)",,
282,2815,"(233, 138, 255)",,
283,2816,"(233, 138, 255)",,
284,2817,"(233, 138, 255)",,
285,2818,"(233, 138, 255)",,
286,2819,"(233, 138, 255)",,
287,2820,"(233, 138, 255)",,
288,2821,"(233, 138, 255)",,
289,2822,"(233, 138, 255)",,
290,2823,"(233, 138, 255)",,
291,2824,"(233, 138, 255)",,
292,2825,"(233, 138, 255)",,
293,2826,"(233, 138, 255)",,
294,2827,"(233, 138, 255)",,
295,2828,"(233, 138, 255)",,
296,2829,"(233, 138, 255)",,
297,2830,"(233, 138, 255)",,
298,2831,"(233, 138, 255)",,
299,2832,"(233, 138, 255)",,
300,2833,"(233, 138, 255)",,
301,2834,"(233, 138, 255)",,
302,2835,"(233, 138, 255)",,
303,2836,"(233, 138, 255)",,
304,2837,"(233, 138, 255)",,
305,2838,"(233, 138, 255)",,
306,2839,"(233, 138, 255)",,
307,2840,"(233, 138, 255)",,
308,2841,"(233, 138, 255)",,
309,2842,"(233, 138, 255)",,
310,2843,"(233, 138, 255)",,
311,2844,"(233, 138, 255)",,
312,2845,"(233, 138, 255)",,
313,2846,"(233, 138, 255)",,
314,2847,"(233, 138, 255)",,
315,2848,"(233, 138, 255)",,
316,2849,"(233, 138, 255)",,
317,2850,"(233, 138, 255)",,
318,2851,"(233, 138, 255)",,
319,2901,"(233, 138, 255)",,
320,2902,"(233, 138, 255)",,
321,2903,"(233, 138, 255)",,
322,2904,"(233, 138, 255)",,
323,2905,"(233, 138, 255)",,
324,2906,"(233, 138, 255)",,
325,2907,"(233, 138, 255)",,
326,2908,"(233, 138, 255)",,
327,2909,"(233, 138, 255)",,
328,2910,"(233, 138, 255)",,
329,2911,"(233, 138, 255)",,
330,2912,"(233, 138, 255)",,
331,2913,"(233, 138, 255)",,
332,2914,"(233, 138, 255)",,
333,2915,"(233, 138, 255)",,
334,2916,"(233, 138, 255)",,
335,2917,"(233, 138, 255)",,
336,2918,"(233, 138, 255)",,
337,2919,"(233, 138, 255)",,
338,2920,"(233, 138, 255)",,
339,2921,"(233, 138, 255)",,
340,2922,"(233, 138, 255)",,
341,2923,"(233, 138, 255)",,
342,2924,"(233, 138, 255)",,
343,2925,"(233, 138, 255)",,
344,2926,"(233, 138, 255)",,
345,2927,"(233, 138, 255)",,
346,2928,"(233, 138, 255)",,
347,2929,"(233, 138, 255)",,
348,2930,"(233, 138, 255)",,
349,2931,"(233, 138, 255)",,
350,2932,"(233, 138, 255)",,
351,2933,"(233, 138, 255)",,
352,2934,"(233, 138, 255)",,
353,2935,"(233, 138, 255)",,
354,2936,"(233, 138, 255)",,
355,2937,"(233, 138, 255)",,
356,2938,"(233, 138, 255)",,
357,2939,"(233, 138, 255)",,
358,2940,"(233, 138, 255)",,
359,2941,"(233, 138, 255)",,
360,2942,"(233, 138, 255)",,
361,3001,"(233, 138, 255)",,
362,3002,"(233, 138, 255)",,
363,3003,"(233, 138, 255)",,
364,3004,"(233, 138, 255)",,
365,3005,"(233, 138, 255)",,
366,3006,"(233, 138, 255)",,
367,3101,"(233, 138, 255)",,
368,3102,"(233, 138, 255)",,
369,3103,"(233, 138, 255)",,
370,3104,"(233, 138, 255)",,
371,3105,"(233, 138, 255)",,
372,3201,"(233, 138, 255)",,
373,3202,"(233, 138, 255)",,
374,3203,"(233, 138, 255)",,
375,3204,"(233, 138, 255)",,
376,3205,"(233, 138, 255)",,
377,3206,"(233, 138, 255)",,
378,3207,"(233, 138, 255)",,
379,3208,"(233, 138, 255)",,
380,3209,"(233, 138, 255)",,
381,3210,"(233, 138, 255)",,
382,3211,"(233, 138, 255)",,
383,3212,"(233, 138, 255)",,
384,3213,"(233, 138, 255)",,
385,3214,"(233, 138, 255)",,
386,3215,"(233, 138, 255)",,
387,3301,"(233, 138, 255)",,
388,3302,"(233, 138, 255)",,
389,3303,"(233, 138, 255)",,
390,3304,"(233, 138, 255)",,
391,3305,"(233, 138, 255)",,
392,3306,"(233, 138, 255)",,
393,3307,"(233, 138, 255)",,
394,3401,"(233, 138, 255)",,
395,3402,"(233, 138, 255)",,
396,3403,"(233, 138, 255)",,
397,3404,"(233, 138, 255)",,
398,3405,"(233, 138, 255)",,
399,3406,"(233, 138, 255)",,
400,3407,"(233, 138, 255)",,
401,3501,"(233, 138, 255)",,
402,3502,"(233, 138, 255)",,
403,3503,"(233, 138, 255)",,
404,3504,"(233, 138, 255)",,
405,3505,"(233, 138, 255)",,
406,3506,"(233, 138, 255)",,
407,3507,"(233, 138, 255)",,
408,3601,"(233, 138, 255)",,
409,3602,"(233, 138, 255)",,
410,3603,"(233, 138, 255)",,
411,3604,"(233, 138, 255)",,
412,3605,"(233, 138, 255)",,
413,3606,"(233, 138, 255)",,
414,3701,"(233, 138, 255)",,
415,3702,"(233, 138, 255)",,
416,3703,"(233, 138, 255)",,
417,3704,"(233, 138, 255)",,
418,3705,"(233, 138, 255)",,
419,3706,"(233, 138, 255)",,
420,3707,"(233, 138, 255)",,
421,3801,"(233, 138, 255)",,
422,3802,"(233, 138, 255)",,
423,3803,"(233, 138, 255)",,
424,3804,"(233, 138, 255)",,
425,3805,"(233, 138, 255)",,
426,3806,"(233, 138, 255)",,
427,3807,"(233, 138, 255)",,
428,3808,"(233, 138, 255)",,
429,3809,"(233, 138, 255)",,
430,3810,"(233, 138, 255)",,
431,3811,"(233, 138, 255)",,
432,3812,"(233, 138, 255)",,
433,3813,"(233, 138, 255)",,
434,3814,"(233, 138, 255)",,
435,3815,"(233, 138, 255)",,
436,3816,"(233, 138, 255)",,
437,3817,"(233, 138, 255)",,
438,3818,"(233, 138, 255)",,
439,3819,"(233, 138, 255)",,
440,3820,"(233, 138, 255)",,
441,3821,"(233, 138, 255)",,
442,3822,"(233, 138, 255)",,
443,3823,"(233, 138, 255)",,
444,3901,"(254, 198, 211)",,
445,3902,"(254, 198, 211)",,
446,3903,"(254, 198, 211)",,
447,3904,"(254, 198, 211)",,
448,3905,"(254, 198, 211)",,
449,3906,"(254, 198, 211)",,
450,3907,"(254, 198, 211)",,
451,3908,"(254, 198, 211)",,
452,3909,"(254, 198, 211)",,
453,3910,"(254, 198, 211)",,
454,3911,"(254, 198, 211)",,
455,3912,"(254, 198, 211)",,
456,3913,"(254, 198, 211)",,
457,3914,"(254, 198, 211)",,
458,3915,"(254, 198, 211)",,
459,3916,"(254, 198, 211)",,
460,3917,"(254, 198, 211)",,
461,3918,"(254, 198, 211)",,
462,3919,"(254, 198, 211)",,
463,3920,"(254, 198, 211)",,
464,3921,"(254, 198, 211)",,
465,3922,"(254, 198, 211)",,
466,3923,"(254, 198, 211)",,
467,3924,"(254, 198, 211)",,
468,3925,"(254, 198, 211)",,
469,3926,"(254, 198, 211)",,
470,4001,"(254, 198, 211)",,
471,4002,"(254, 198, 211)",,
472,4003,"(254, 198, 211)",,
473,4004,"(254, 198, 211)",,
474,4005,"(254, 198, 211)",,
475,4006,"(254, 198, 211)",,
476,4007,"(254, 198, 211)",,
477,4008,"(254, 198, 211)",,
478,4009,"(254, 198, 211)",,
479,4010,"(254, 198, 211)",,
480,4011,"(254, 198, 211)",,
481,4012,"(254, 198, 211)",,
482,4013,"(254, 198, 211)",,
483,4014,"(254, 198, 211)",,
484,4015,"(254, 198, 211)",,
485,4016,"(254, 198, 211)",,
486,4017,"(254, 198, 211)",,
487,4101,"(160, 255, 153)",,
488,4102,"(160, 255, 153)",,
489,4103,"(160, 255, 153)",,
490,4104,"(160, 255, 153)",,
491,4105,"(160, 255, 153)",,
492,4106,"(160, 255, 153)",,
493,4107,"(160, 255, 153)",,
494,4108,"(160, 255, 153)",,
495,4109,"(160, 255, 153)",,
496,4110,"(160, 255, 153)",,
497,4111,"(160, 255, 153)",,
498,4201,"(160, 255, 153)",,
499,4202,"(160, 255, 153)",,
500,4203,"(160, 255, 153)",,
501,4204,"(160, 255, 153)",,
502,4205,"(160, 255, 153)",,
503,4206,"(160, 255, 153)",,
504,4301,"(160, 255, 153)",,
505,4302,"(160, 255, 153)",,
506,4303,"(160, 255, 153)",,
507,4304,"(160, 255, 153)",,
508,4401,"(255, 0, 0)",,
509,4402,"(255, 0, 0)",,
510,4403,"(255, 0, 0)",,
511,4404,"(255, 0, 0)",,
512,4405,"(255, 0, 0)",,
513,4406,"(255, 0, 0)",,
514,4407,"(255, 0, 0)",,
515,4408,"(255, 0, 0)",,
516,4409,"(255, 0, 0)",,
517,4410,"(255, 0, 0)",,
518,4411,"(255, 0, 0)",,
519,4412,"(255, 0, 0)",,
520,4413,"(255, 0, 0)",,
521,4414,"(255, 0, 0)",,
522,4415,"(255, 0, 0)",,
523,4416,"(255, 0, 0)",,
524,4417,"(255, 0, 0)",,
525,4418,"(255, 0, 0)",,
526,4419,"(255, 0, 0)",,
527,4420,"(255, 0, 0)",,
528,4421,"(255, 0, 0)",,
529,4501,"(255, 0, 0)",,
530,4502,"(255, 0, 0)",,
531,4503,"(255, 0, 0)",,
532,4504,"(255, 0, 0)",,
533,4601,"(255, 0, 0)",,
534,4602,"(255, 0, 0)",,
535,4701,"(255, 0, 0)",,
536,4702,"(255, 0, 0)",,
537,4703,"(255, 0, 0)",,
538,4704,"(255, 0, 0)",,
539,4705,"(255, 0, 0)",,
540,4706,"(255, 0, 0)",,
541,4707,"(255, 0, 0)",,
542,4801,"(255, 0, 0)",,
543,4802,"(255, 0, 0)",,
544,4803,"(255, 0, 0)",,
545,4804,"(255, 0, 0)",,
546,4805,"(255, 0, 0)",,
547,4806,"(255, 0, 0)",,
548,4807,"(255, 0, 0)",,
549,4808,"(255, 0, 0)",,
550,4809,"(255, 0, 0)",,
551,4810,"(255, 0, 0)",,
552,4811,"(255, 0, 0)",,
553,4812,"(255, 0, 0)",,
554,4813,"(255, 0, 0)",,
555,4814,"(255, 0, 0)",,
556,4815,"(255, 0, 0)",,
557,4816,"(255, 0, 0)",,
558,4817,"(255, 0, 0)",,
559,4818,"(255, 0, 0)",,
560,4819,"(255, 0, 0)",,
561,4820,"(255, 0, 0)",,
562,4821,"(255, 0, 0)",,
563,4822,"(255, 0, 0)",,
564,4823,"(255, 0, 0)",,
565,4901,"(255, 0, 0)",,
566,4902,"(255, 0, 0)",,
567,4903,"(255, 0, 0)",,
568,4904,"(255, 0, 0)",,
569,4905,"(255, 0, 0)",,
570,4906,"(255, 0, 0)",,
571,4907,"(255, 0, 0)",,
572,4908,"(255, 0, 0)",,
573,4909,"(255, 0, 0)",,
574,4910,"(255, 0, 0)",,
575,4911,"(255, 0, 0)",,
576,5001,"(0, 176, 80)",,
577,5002,"(0, 176, 80)",,
578,5003,"(0, 176, 80)",,
579,5004,"(0, 176, 80)",,
580,5005,"(0, 176, 80)",,
581,5006,"(0, 176, 80)",,
582,5007,"(0, 176, 80)",,
583,5101,"(0, 176, 80)",,
584,5102,"(0, 176, 80)",,
585,5103,"(0, 176, 80)",,
586,5104,"(0, 176, 80)",,
587,5105,"(0, 176, 80)",,
588,5106,"(0, 176, 80)",,
589,5107,"(0, 176, 80)",,
590,5108,"(0, 176, 80)",,
591,5109,"(0, 176, 80)",,
592,5110,"(0, 176, 80)",,
593,5111,"(0, 176, 80)",,
594,5112,"(0, 176, 80)",,
595,5113,"(0, 176, 80)",,
596,5201,"(0, 176, 80)",,
597,5202,"(0, 176, 80)",,
598,5203,"(0, 176, 80)",,
599,5204,"(0, 176, 80)",,
600,5205,"(0, 176, 80)",,
601,5206,"(0, 176, 80)",,
602,5207,"(0, 176, 80)",,
603,5208,"(0, 176, 80)",,
604,5209,"(0, 176, 80)",,
605,5210,"(0, 176, 80)",,
606,5211,"(0, 176, 80)",,
607,5212,"(0, 176, 80)",,
608,5301,"(0, 176, 80)",,
609,5302,"(0, 176, 80)",,
610,5303,"(0, 176, 80)",,
611,5304,"(0, 176, 80)",,
612,5305,"(0, 176, 80)",,
613,5306,"(0, 176, 80)",,
614,5307,"(0, 176, 80)",,
615,5308,"(0, 176, 80)",,
616,5309,"(0, 176, 80)",,
617,5310,"(0, 176, 80)",,
618,5311,"(0, 176, 80)",,
619,5401,"(0, 176, 80)",,
620,5402,"(0, 176, 80)",,
621,5403,"(0, 176, 80)",,
622,5404,"(0, 176, 80)",,
623,5405,"(0, 176, 80)",,
